Date,Source,RegionSource,Target,RegionTarget,Valeur1,Valeur2,Valeur3,Valeur4,Valeur5,Valeur6,Valeur7,Valeur8,Valeur9,Valeur10,Valeur11,Valeur12,Valeur13,Valeur14,Valeur15,Valeur16,Valeur17,Valeur18,Valeur19
2018-01,PARIS MONTPARNASSE,Île-de-France,ANGOULEME,Nouvelle Aquitaine,239,126,4,36,6.347685185,0.751560284,28,18.02202381,4.113191489,15,4.113191489,3,0,15.38461538,38.46153846,19.23076923,23.07692308,3.846153846,0
2018-01,PARIS MONTPARNASSE,Île-de-France,LAVAL,Pays de la Loire,217,84,0,32,11.609375,1.455760369,66,15.13434343,5.82281106,16,5.82281106,5,2,24.24242424,54.54545455,3.03030303,12.12121212,3.03030303,3.03030303
2018-01,PARIS MONTPARNASSE,Île-de-France,QUIMPER,Bretagne,248,220,1,37,9.501351351,1.003981107,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0,0
2018-01,POITIERS,Nouvelle Aquitaine,PARIS MONTPARNASSE,Île-de-France,472,94,4,224,6.784672619,3.229700855,89,14.59269663,4.882371795,42,4.882371795,10,0,15.78947368,45.61403509,19.29824561,15.78947368,1.754385965,1.754385965
2018-01,QUIMPER,Bretagne,PARIS MONTPARNASSE,Île-de-France,256,223,1,9,16.33333333,0.579477124,21,39.0952381,5.940849673,21,5.917643229,9,2,27.77777778,55.55555556,0,5.555555556,5.555555556,5.555555556
2018-01,TOURS,Centre-Val de loire,PARIS MONTPARNASSE,Île-de-France,194,75,0,12,5.727777778,0.333075601,35,11.13142857,2.929295533,7,2.929295533,1,0,25,56.25,6.25,12.5,0,0
2018-01,NANCY,Grand Est,PARIS EST,Île-de-France,306,93,1,71,8.252347418,1.981857923,33,15.96212121,1.192568306,13,1.192568306,5,0,21.05263158,21.05263158,36.84210526,10.52631579,5.263157895,5.263157895
2018-01,PARIS EST,Île-de-France,METZ,Grand Est,310,84,0,41,6.409349593,0.823548387,24,11.88888889,0.76,7,0.76,1,0,26.66666667,6.666666667,13.33333333,40,13.33333333,0
2018-01,STRASBOURG,Grand Est,NANTES,Pays de la Loire,40,286,1,9,4.151851852,0.898717949,5,46.75333333,8.574786325,5,8.574786325,2,2,20,20,40,20,0,0
2018-01,LYON PART DIEU,Auvergne-Rhône-Alpes,LILLE,Hauts-de-France,296,189,3,218,10.35810398,7.809613197,67,44.43731343,12.04897611,64,12.04897611,35,12,30.76923077,32.69230769,9.615384615,17.30769231,3.846153846,5.769230769
2018-01,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,LILLE,Hauts-de-France,187,307,2,40,8.270416667,1.778288288,37,45.59459459,10.79558559,37,10.79558559,19,7,32.25806452,35.48387097,9.677419355,12.90322581,3.225806452,6.451612903
2018-01,BORDEAUX ST JEAN,Nouvelle Aquitaine,PARIS VAUGIRARD,Île-de-France,62,144,0,15,22.39444444,5.397580645,9,45.39259259,6.180913978,7,6.180913978,5,2,11.11111111,11.11111111,22.22222222,55.55555556,0,0
2018-01,TOURCOING,Hauts-de-France,BORDEAUX ST JEAN,Nouvelle Aquitaine,31,286,0,5,8.4,1.35483871,7,47.86428571,12.04408602,7,12.04408602,3,1,0,0,33.33333333,66.66666667,0,0
2018-01,TOURCOING,Hauts-de-France,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,31,309,1,0,0,0,1,58.88333333,2.345,1,2.345,1,0,100,0,0,0,0,0
2018-01,BELLEGARDE (AIN),Auvergne-Rhône-Alpes,PARIS LYON,Île-de-France,259,162,3,115,8.253188406,3.758333333,53,34.96918239,7.531966146,42,7.531966146,21,9,54.90196078,19.60784314,15.68627451,1.960784314,5.882352941,1.960784314
2018-01,GRENOBLE,Auvergne-Rhône-Alpes,PARIS LYON,Île-de-France,245,183,0,37,8.027027027,1.212244898,23,46.31449275,6.123741497,25,6.123741497,13,6,17.64705882,52.94117647,0,23.52941176,5.882352941,0
2018-01,LYON PART DIEU,Auvergne-Rhône-Alpes,PARIS LYON,Île-de-France,659,120,3,384,6.344574653,3.823424797,85,26.8054902,4.030614837,53,4.030614837,20,6,26.66666667,24,26.66666667,17.33333333,5.333333333,0
2018-01,LYON PART DIEU,Auvergne-Rhône-Alpes,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,539,107,7,271,16.21242312,8.403414787,114,39.73888889,9.378195489,96,9.378195489,46,21,30.66666667,28,20,14.66666667,1.333333333,5.333333333
2018-01,PARIS LYON,Île-de-France,AVIGNON TGV,Provence-Alpes-Côte d'Azur,462,159,0,48,11.04236111,0.855627706,64,31.44114583,5.880880231,45,5.880880231,19,8,30.15873016,25.3968254,19.04761905,22.22222222,3.174603175,0
2018-01,PARIS LYON,Île-de-France,BELLEGARDE (AIN),Auvergne-Rhône-Alpes,231,160,2,34,5.780882353,0.563464338,64,36.38802083,11.86091703,49,11.86091703,24,10,40,25.45454545,25.45454545,5.454545455,3.636363636,0
2018-01,PARIS LYON,Île-de-France,LE CREUSOT MONTCEAU MONTCHANIN,Bourgogne-France-Comté,208,78,0,18,10.46574074,0.502804487,36,17.18009259,4.026282051,14,4.026282051,8,0,20,32,24,20,4,0
2018-01,PARIS LYON,Île-de-France,PERPIGNAN,Occitanie,145,308,0,29,14.50517241,2.528045977,23,39.61884058,8.224597701,23,8.224597701,12,3,13.63636364,59.09090909,9.090909091,18.18181818,0,0
2018-01,PARIS LYON,Île-de-France,SAINT ETIENNE CHATEAUCREUX,Auvergne-Rhône-Alpes,112,168,0,13,9.105128205,0.653422619,21,25.95952381,5.868154762,14,5.868154762,5,2,16.66666667,38.88888889,22.22222222,16.66666667,5.555555556,0
2018-01,PARIS MONTPARNASSE,Île-de-France,LE MANS,Pays de la Loire,441,54,2,62,10.47446237,1.174867122,65,16.90461538,2.997570235,22,2.997570235,9,3,28.94736842,26.31578947,10.52631579,26.31578947,5.263157895,2.631578947
2018-01,PARIS MONTPARNASSE,Île-de-France,POITIERS,Nouvelle Aquitaine,506,93,4,62,7.717741935,0.644090305,52,13.4849359,2.716932271,16,2.716932271,6,0,26.92307692,42.30769231,11.53846154,19.23076923,0,0
2018-01,PARIS MONTPARNASSE,Île-de-France,RENNES,Bretagne,590,97,1,79,10.08860759,1.029654782,107,21.10280374,4.968336163,35,4.968336163,12,7,12.65822785,41.7721519,18.98734177,24.05063291,2.53164557,0
2018-01,RENNES,Bretagne,LYON PART DIEU,Auvergne-Rhône-Alpes,99,233,0,23,3,0.696969697,6,40.05833333,2.244612795,6,2.244612795,2,1,0,50,25,25,0,0
2018-01,METZ,Grand Est,PARIS EST,Île-de-France,307,85,1,128,8.046614583,3.431263617,64,14.51614583,3.320098039,17,3.320098039,8,0,18.91891892,8.108108108,37.83783784,29.72972973,2.702702703,2.702702703
2018-01,PARIS EST,Île-de-France,NANCY,Grand Est,299,94,3,40,5.262083333,0.658051802,13,17.36153846,1.024155405,7,1.024155405,4,0,10,10,20,50,10,0
2018-01,PARIS EST,Île-de-France,STRASBOURG,Grand Est,494,112,9,49,6.267006803,0.576323024,14,27.3,0.77814433,11,0.77814433,5,1,25,8.333333333,8.333333333,50,8.333333333,0
2018-01,REIMS,Grand Est,PARIS EST,Île-de-France,230,46,1,93,7.432795699,3.107569141,62,12.81747312,3.538937409,20,3.538937409,3,0,17.94871795,41.02564103,20.51282051,5.128205128,0,15.38461538
2018-01,STRASBOURG,Grand Est,PARIS EST,Île-de-France,507,112,7,239,7.218828452,3.5573,46,24.83876812,2.675233333,34,2.675233333,11,1,35.8974359,12.82051282,17.94871795,15.38461538,5.128205128,12.82051282
2018-01,LILLE,Hauts-de-France,PARIS NORD,Île-de-France,579,63,9,164,8.22195122,2.344327485,101,22.20577558,4.229619883,38,4.222212493,17,10,36.23188406,8.695652174,21.73913043,23.1884058,5.797101449,4.347826087
2018-01,PARIS NORD,Île-de-France,LILLE,Hauts-de-France,568,64,5,98,8.828911565,1.499230314,97,21.02491409,4.133274127,40,4.133274127,15,6,38.0952381,21.42857143,9.523809524,21.42857143,9.523809524,0
2018-01,BORDEAUX ST JEAN,Nouvelle Aquitaine,TOURCOING,Hauts-de-France,31,301,0,13,2.755128205,1.180645161,3,43.33333333,6.548387097,3,6.548387097,2,1,0,33.33333333,66.66666667,0,0,0
2018-01,NANTES,Pays de la Loire,PARIS VAUGIRARD,Île-de-France,62,143,0,15,13.87111111,3.647043011,6,47.28055556,5.310215054,5,5.310215054,3,1,0,50,0,16.66666667,16.66666667,16.66666667
2018-01,DIJON VILLE,Bourgogne-France-Comté,PARIS LYON,Île-de-France,451,98,7,264,6.674873737,4.068093093,42,28.48611111,2.398836336,29,2.398836336,12,5,25,12.5,40,7.5,2.5,12.5
2018-01,LYON PART DIEU,Auvergne-Rhône-Alpes,MARNE LA VALLEE,Île-de-France,316,109,3,221,10.31432881,7.273375932,64,37.121875,7.814643237,53,7.814643237,27,10,18.36734694,34.69387755,12.24489796,20.40816327,6.12244898,8.163265306
2018-01,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,MARNE LA VALLEE,Île-de-France,312,214,2,77,10.71558442,2.581774194,46,43.54166667,6.862311828,46,6.862311828,27,12,19.51219512,34.14634146,12.19512195,26.82926829,2.43902439,4.87804878
2018-01,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,LYON PART DIEU,Auvergne-Rhône-Alpes,557,106,7,133,6.978195489,1.706333333,60,28.92,5.195333333,40,5.195333333,19,5,23.07692308,23.07692308,19.23076923,23.07692308,3.846153846,7.692307692
2018-01,PARIS LYON,Île-de-France,LYON PART DIEU,Auvergne-Rhône-Alpes,630,119,1,60,9.3725,0.486221516,61,30.51311475,2.824933757,49,2.824933757,24,5,22.03389831,44.06779661,11.86440678,20.33898305,1.694915254,0
2018-01,PARIS LYON,Île-de-France,MACON LOCHE,Centre-Val de loire,227,95,1,31,14.99731183,1.88620944,27,33.24382716,4.591814159,23,4.591814159,13,3,12,44,4,36,4,0
2018-01,PARIS LYON,Île-de-France,VALENCE ALIXAN TGV,Auvergne-Rhône-Alpes,323,130,0,47,12.06631206,1.415995872,44,33.97272727,5.24122807,33,5.24122807,17,7,15,30,25,25,5,0
2018-01,SAINT ETIENNE CHATEAUCREUX,Auvergne-Rhône-Alpes,PARIS LYON,Île-de-France,118,168,0,12,6.373611111,0.575564972,13,30.64358974,4.12019774,7,4.12019774,4,2,40,30,20,0,10,0
2018-01,MADRID,Bourgogne-France-Comté,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,16,481,1,6,3.5,1,3,20.27222222,7.255555556,3,7.255555556,0,0,0,0,66.66666667,33.33333333,0,0
2018-01,BORDEAUX ST JEAN,Nouvelle Aquitaine,PARIS MONTPARNASSE,Île-de-France,870,141,5,289,11.24780854,3.693179191,147,28.43673469,6.511117534,110,6.511117534,44,8,36.13445378,31.09243697,10.92436975,15.96638655,5.042016807,0.840336134
2018-01,BREST,Bretagne,PARIS MONTPARNASSE,Île-de-France,284,225,3,4,2.25,0.03202847,19,39.18333333,5.389501779,19,5.370390071,5,2,33.33333333,53.33333333,0,13.33333333,0,0
2018-01,LYON PART DIEU,Auvergne-Rhône-Alpes,RENNES,Bretagne,88,232,2,50,7.033666667,4.213372093,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0,0
2018-01,PARIS MONTPARNASSE,Île-de-France,LA ROCHELLE VILLE,Nouvelle Aquitaine,226,166,0,21,6.23968254,0.286283186,19,24.73684211,2.938053097,11,2.938053097,6,1,22.22222222,27.77777778,16.66666667,16.66666667,5.555555556,11.11111111
2018-01,PARIS MONTPARNASSE,Île-de-France,ST MALO,Bretagne,102,156,0,12,19.9125,1.966666667,13,48.62307692,6.790686275,8,6.724757282,6,4,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0
2018-01,PARIS MONTPARNASSE,Île-de-France,TOULOUSE MATABIAU,Occitanie,182,257,1,38,10.4122807,1.958747698,21,57.18095238,6.779558011,21,6.779558011,17,7,47.61904762,28.57142857,0,19.04761905,4.761904762,0
2018-01,ST MALO,Bretagne,PARIS MONTPARNASSE,Île-de-France,92,158,0,2,1.225,0.0625,10,24.975,4.81576087,6,4.763978495,3,1,22.22222222,66.66666667,0,11.11111111,0,0
2018-01,TOULOUSE MATABIAU,Occitanie,PARIS MONTPARNASSE,Île-de-France,184,257,0,23,11.22173913,1.193931159,26,40.11666667,7.510507246,26,7.510507246,12,3,59.09090909,22.72727273,4.545454545,9.090909091,4.545454545,0
2018-01,VANNES,Bretagne,PARIS MONTPARNASSE,Île-de-France,278,156,1,168,5.120436508,3.131046931,37,30.07207207,6.264019254,25,6.241486811,11,3,24.13793103,44.82758621,20.68965517,3.448275862,3.448275862,3.448275862
2018-01,ARRAS,Hauts-de-France,PARIS NORD,Île-de-France,312,51,4,118,8.863983051,3.56525974,64,22.25078125,5.351785714,16,5.351785714,9,5,24.32432432,21.62162162,35.13513514,13.51351351,5.405405405,0
2018-01,DUNKERQUE,Hauts-de-France,PARIS NORD,Île-de-France,245,116,1,14,8.928571429,0.562704918,28,28.92559524,4.737363388,19,4.737363388,8,2,26.08695652,26.08695652,26.08695652,17.39130435,4.347826087,0
2018-01,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,TOURCOING,Hauts-de-France,31,299,0,13,10.76923077,4.334946237,3,88.33333333,11.32258065,3,11.32258065,3,3,0,33.33333333,33.33333333,33.33333333,0,0
2018-01,PARIS VAUGIRARD,Île-de-France,RENNES,Bretagne,31,122,0,8,10.56458333,2.575268817,2,25.5,1.774193548,2,1.774193548,1,0,0,50,0,0,50,0
2018-01,RENNES,Bretagne,PARIS VAUGIRARD,Île-de-France,31,111,0,7,2.857142857,0.64516129,2,24.33333333,3.160752688,2,3.160752688,0,0,50,0,50,0,0,0
2018-01,AIX EN PROVENCE TGV,Provence-Alpes-Côte d'Azur,PARIS LYON,Île-de-France,402,188,0,117,6.625641026,2.005431177,37,35.97432432,4.417205638,37,4.417205638,19,7,42.85714286,22.85714286,8.571428571,22.85714286,0,2.857142857
