uic,gare_enquetee,frequence,pourcentage,annee
444000,Caen,1 a 2 fois par semaine,20,2012
478404,Laval,1 ou plusieurs fois par mois,18,2011
686006,Paris Gare de Lyon,1 a 2 fois par semaine,12,2012
751008,Marseille Saint-Charles,Moins d 1 fois par mois,25,2013
773002,Montpellier Saint-Roch,1 a 2 fois par semaine,15,2015
773002,Montpellier Saint-Roch,Moins d 1 fois par mois,26,2015
111849,Marne la Vallée Chessy,1 a 2 fois par semaine,8,2013
113001,Paris Est,Tous les jours de la semaine ou presque,55,2012
118000,Troyes,C est la premiere fois,11,2015
182014,Colmar,1 a 2 fois par semaine,16,2017
192039,Metz,Moins d 1 fois par mois,18,2016
300822,Belfort Montbéliard TGV,1 ou plusieurs fois par mois,27,2015
300822,Belfort Montbéliard TGV,C est la premiere fois,19,2015
313874,Amiens,Tous les jours de la semaine ou presque,64,2015
319012,Aix en Provence-TGV,Moins d 1 fois par mois,50,2015
345025,Lens,1 ou plusieurs fois par mois,13,2016
444000,Caen,1 ou plusieurs fois par mois,13,2012
444877,Cherbourg,Tous les jours de la semaine ou presque,46,2015
476002,Lorient,1 ou plusieurs fois par mois,16,2010
575001,Poitiers,Tous les jours de la semaine ou presque,17,2015
583005,Angoulême,1 a 2 fois par semaine,21,2012
673004,Bayonne,1 ou plusieurs fois par mois,17,2013
677005,Hendaye,Tous les jours de la semaine ou presque,13,2016
713040,Dijon,Tous les jours de la semaine ou presque,34,2015
718007,Besançon-Viotte,1 ou plusieurs fois par mois,12,2012
755009,Toulon,1 ou plusieurs fois par mois,18,2014
775007,Nîmes,1 a 2 fois par semaine,14,2014
784009,Perpignan,C est la premiere fois,11,2016
171009,Reims,C est la premiere fois,6,2016
182014,Colmar,Tous les jours de la semaine ou presque,56,2017
182063,Mulhouse,1 ou plusieurs fois par mois,13,2014
182063,Mulhouse,Moins d 1 fois par mois,17,2014
286005,Lille Flandres,1 a 2 fois par semaine,15,2013
318964,Avignon TGV,1 ou plusieurs fois par mois,24,2015
384008,Paris St Lazare,Moins d 1 fois par mois,8,2013
444000,Caen,C est la premiere fois,6,2012
471003,Rennes,C est la premiere fois,12,2014
581009,Bordeaux Saint-Jean,1 ou plusieurs fois par mois,20,2014
686006,Paris Gare de Lyon,C est la premiere fois,11,2012
723197,Lyon Part Dieu,1 a 2 fois par semaine,11,2011
723197,Lyon Part Dieu,Tous les jours de la semaine ou presque,34,2011
751008,Marseille Saint-Charles,C est la premiere fois,13,2013
773002,Montpellier Saint-Roch,Tous les jours de la semaine ou presque,32,2015
775007,Nîmes,Moins d 1 fois par mois,26,2014
111849,Marne la Vallee Chessy,Moins d 1 fois par mois,54,2013
142109,Lorraine TGV,C est la premiere fois,14,2017
286005,Lille Flandres,Tous les jours de la semaine ou presque,55,2013
300863,Besançon Franche-Comté TGV,1 ou plusieurs fois par mois,25,2015
391003,Paris Montparnasse 1 et 2 + Vaugirard,Moins d 1 fois par mois,29,2012
471003,Rennes,Moins d 1 fois par mois,25,2014
484006,Angers Saint Laud,1 a 2 fois par semaine,16,2015
611004,Toulouse Matabiau,Moins d 1 fois par mois,27,2014
673004,Bayonne,Moins d 1 fois par mois,19,2013
762906,Lyon Saint Exupery TGV,1 ou plusieurs fois par mois,25,2016
141002,Nancy,1 ou plusieurs fois par mois,15,2014
142109,Lorraine TGV,Moins d 1 fois par mois,55,2017
171009,Reims,1 a 2 fois par semaine,15,2016
212027,Strasbourg,1 ou plusieurs fois par mois,11,2016
271007,Paris Nord,1 ou plusieurs fois par mois,10,2012
271007,Paris Nord,C est la premiere fois,11,2012
271007,Paris Nord,Tous les jours de la semaine ou presque,48,2012
286005,Lille Flandres,Moins d 1 fois par mois,15,2013
755009,Toulon,C est la premiere fois,7,2014
756056,Nice,Tous les jours de la semaine ou presque,46,2014
111849,Marne la Vallée Chessy,Tous les jours de la semaine ou presque,4,2013
192039,Metz,1 ou plusieurs fois par mois,11,2016
384008,Paris St Lazare,Tous les jours de la semaine ou presque,72,2013
481002,Nantes,C est la premiere fois,12,2014
484006,Angers Saint Laud,Tous les jours de la semaine ou presque,36,2015
547000,Paris Austerlitz,C est la premiere fois,11,2013
611004,Toulouse Matabiau,1 ou plusieurs fois par mois,17,2014
611004,Toulouse Matabiau,Tous les jours de la semaine ou presque,27,2014
677005,Hendaye,1 ou plusieurs fois par mois,8,2016
677005,Hendaye,C est la premiere fois,40,2016
723197,Lyon Part Dieu,1 ou plusieurs fois par mois,20,2011
723197,Lyon Part Dieu,C est la premiere fois,7,2011
775007,Nîmes,1 ou plusieurs fois par mois,18,2014
141002,Nancy,Tous les jours de la semaine ou presque,46,2014
142109,Lorraine TGV,1 a 2 fois par semaine,12,2017
142109,Lorraine TGV,Tous les jours de la semaine ou presque,6,2017
271007,Paris Nord,Moins d 1 fois par mois,17,2012
481002,Nantes,Tous les jours de la semaine ou presque,24,2014
571000,Tours,Moins d 1 fois par mois,19,2016
673400,Biarritz,Tous les jours de la semaine ou presque,17,2016
747006,Grenoble,C est la premiere fois,5,2015
751008,Marseille Saint-Charles,Tous les jours de la semaine ou presque,35,2013
763029,Valence TGV Rhône-Alpes Sud,1 a 2 fois par semaine,14,2015
113001,Paris Est,1 a 2 fois par semaine,8,2012
212027,Strasbourg,1 a 2 fois par semaine,11,2016
271494,Aéroport Charles de Gaulle 2 TGV,Tous les jours de la semaine ou presque,1,2013
300822,Belfort Montbéliard TGV,1 a 2 fois par semaine,13,2015
300863,Besançon Franche-Comté TGV,C est la premiere fois,11,2015
411017,Rouen Rive Droite,1 a 2 fois par semaine,14,2014
471003,Rennes,1 a 2 fois par semaine,16,2014
478404,Laval,Tous les jours de la semaine ou presque,30,2011
547000,Paris Austerlitz,1 ou plusieurs fois par mois,16,2013
583005,Angoulême,Moins d 1 fois par mois,27,2012
775007,Nîmes,Tous les jours de la semaine ou presque,36,2014
686667,Paris Bercy,Tous les jours de la semaine ou presque,34,2012
141002,Nancy,C est la premiere fois,5,2014
192039,Metz,1 a 2 fois par semaine,14,2016
212027,Strasbourg,Moins d 1 fois par mois,16,2016
313874,Amiens,1 a 2 fois par semaine,15,2015
396002,Le Mans,C est la premiere fois,8,2015
396002,Le Mans,Moins d 1 fois par mois,22,2015
547000,Paris Austerlitz,Moins d 1 fois par mois,38,2013
575001,Poitiers,1 ou plusieurs fois par mois,24,2015
611004,Toulouse Matabiau,1 a 2 fois par semaine,19,2014
673400,Biarritz,C est la premiere fois,34,2016
713040,Dijon,1 a 2 fois par semaine,19,2015
722025,Lyon Perrache,C est la premiere fois,4,2011
756056,Nice,C est la premiere fois,4,2014
757625,Cannes,1 a 2 fois par semaine,11,2015
171009,Reims,1 ou plusieurs fois par mois,15,2016
223263,Lille Europe,C est la premiere fois,19,2013
271007,Paris Nord,1 a 2 fois par semaine,12,2012
313874,Amiens,Moins d 1 fois par mois,9,2015
391003,Paris Montparnasse 1 et 2 + Vaugirard,1 ou plusieurs fois par mois,20,2012
547000,Paris Austerlitz,Tous les jours de la semaine ou presque,21,2013
583005,Angoulême,1 ou plusieurs fois par mois,25,2012
718007,Besançon-Viotte,1 a 2 fois par semaine,18,2012
718007,Besançon-Viotte,Tous les jours de la semaine ou presque,44,2012
753657,Arles,1 a 2 fois par semaine,11,2014
