Nom de la gare,Code UIC complet,Année,Total Voyageurs
Pont de Bois,87286831,2020,20486
Pont de l'Alma,87393041,2020,2258916
Pont de Rungis Aéroport d'Orly,87546192,2020,374330
Pont Petit,87276154,2020,164441
Pontchaillou,87471391,2020,207480
Pontgouin,87394247,2020,18168
Ponthierry - Pringy,87682526,2020,270808
Pontrieux Halte,87473835,2020,2636
Port-de-Bouc,87753459,2020,17886
Port-de-Piles,87575076,2020,23238
Porté-Puymorens,87611509,2020,1856
Portet Saint-Simon,87611400,2020,227142
Portets,87582718,2020,86776
Port-Saint-Père - Saint-Mars,87481218,2020,28793
Précy-sur-Oise,87276410,2020,42717
Pringy,87746206,2020,17871
Prissé-la-Charrière,87485359,2020,5407
Prunay,87171629,2020,2421
Quesnoy-le-Montant,87317487,2020,0
Réaumont - Saint-Cassien,87747279,2020,90386
Recquignies,87295022,2020,2692
Remiremont,87144451,2020,170067
Renescure,87281451,2020,15567
Retournac,87734749,2020,31151
Riedseltz,87213462,2020,6820
Rilly-la-Montagne,87171595,2020,68278
Ris-Orangis,87681338,2020,750562
Rivarennes,87571653,2020,16259
Rochefort,87485144,2020,302047
Roche-lez-Beaupré,87718403,2020,4621
Rodez,87613422,2020,133295
Roeschwoog,87212407,2020,43367
Roissy-en-Brie,87116038,2020,1807324
Ronchin,87286534,2020,36744
Roquesérière - Buzet,87615351,2020,813
Rosny-sur-Seine,87415885,2020,271321
Rougemont Chanteloup,87431791,2020,1048355
Route de Launaguet,87611954,2020,196
Sablé-sur-Sarthe,87396408,2020,330700
Saint-Agne,87611301,2020,812374
Saint-Amand-Longpré,87574640,2020,3049
Saint-Blaise-la-Roche Poutay,87214742,2020,34872
Saint-Chamas,87753202,2020,51759
Saint-Chéron,87545509,2020,353776
Saint-Denis-lès-Martel,87594572,2020,10024
Sainte-Bazeille,87586479,2020,668
Sainte-Eulalie - Carbon-Blanc,87491282,2020,23631
Sainte-Léocadie,87784850,2020,89
Sainte-Lizaigne,87597054,2020,884
Saint-Émilion,87584102,2020,43398
Saint-Étienne-de-Montluc,87481812,2020,71554
Saint-Étienne-du-Rouvray,87411215,2020,18352
Saint-Fargeau-Ponthierry,87682542,2020,66064
Saint-Geniès-de-Malgoirès,87775361,2020,46537
Saint-Germain-du-Puy,87576405,2020,2890
Saint-Germain-sur-Ille,87478016,2020,41260
Saint-Gervais-les-Bains Le Fayet,87746479,2020,279313
Saint-Hilaire - Saint-Nazaire,87761684,2020,43997
Saint-Jean-d'Angély,87491357,2020,27563
Saint-Jean-de-Maurienne Arvan,87742320,2020,225220
Saint-Julien-du-Sault,87683227,2020,21843
Saint-Julien-en-Genevois,87745430,2020,104246
Saint-Lô,87447003,2020,128874
Saint-Loubès,87584730,2020,81190
Saint-Marcel,87751701,2020,16471
Saint-Martin-d'Oney,87671495,2020,48972
Saint-Martin-du-Mont,87743112,2020,4761
Saint-Martin-le-Beau,87574459,2020,35384
Saint-Médard-de-Guizières,87584607,2020,32864
Saint-Médard-d'Eyrans,87582692,2020,47390
Saint-Omer,87281444,2020,622485
Saint-Omer-en-Chaussée,87313718,2020,4458
Saint-Ouen-l'Aumône Liesse,87337980,2020,1091697
Saint-Ouen-l'Aumône Quartier de l'Église,87381426,2020,322678
Saint-Piat,87394148,2020,124256
Saint-Pierre-d'Aurillac,87582833,2020,4493
Saint-Pierre-le-Moûtier,87696294,2020,5605
Saint-Pierre-Quiberon,87476440,2020,6915
Saint-Priest,87723353,2020,103964
Saint-Quentin-Fallavier,87723387,2020,141619
Saint-Rambert-d'Albon,87761106,2020,198906
Saint-Sébastien,87592493,2020,2321
Saint-Senoux - Pléchâtel,87471169,2020,11508
Saint-Vallier sur Rhône,87761130,2020,199266
Saléchan - Siradan,87618710,2020,81
Sarrebourg,87215012,2020,495281
Sarreinsming,87193631,2020,191
Sathonay - Rillieux,87723700,2020,233402
Saubusse,87673251,2020,6167
Sauto,87784777,2020,107
Savigny-le-Temple - Nandy,87682187,2020,2311061
Savigny-sur-Orge,87545236,2020,4494928
Savy-Berlette,87342253,2020,29700
Schweighouse-sur-Moder,87213108,2020,15991
Sedan,87172254,2020,208443
Sélestat,87214056,2020,1572364
Selles-sur-Cher,87576868,2020,19177
Seltz,87212431,2020,34485
Sérifontaine,87381269,2020,522
Serres,87763722,2020,5138
Sessenheim,87212365,2020,58277
Seurre,87713677,2020,50275
Sévérac,87476754,2020,7792
Seyssel - Corbonod,87745828,2020,37709
Sillé-le-Guillaume,87396234,2020,57135
Sommery,87411462,2020,2099
